cluster_id,decision,signature,member_count,approved_at,quality_gate,excluded_count,note
PC-011,APPROVE_CLUSTER_CURRENT,mode=right; source=local_file; output=auto_right; samples=0; ratio=card_portrait; layout=center_dense; issue=band_or_center_layout; families=;mode=right;source=local_file;package=true;ratio=card_portrait;resolver=local_file;filename=auto_right;issue=band_or_center_layout;layout=center_dense,1,2026-07-29,strict_signature_and_current_technical_contract,0,Current image approved; excluded members remain final exceptions
PC-012,APPROVE_CLUSTER_CURRENT,mode=right; source=local_file; output=auto_right; samples=0; ratio=card_portrait; layout=ordinary; issue=confidence_only; families=+GKOK+JFB+MGMQ+NKD+SCD+TKD;mode=right;source=local_file;package=true;ratio=card_portrait;resolver=local_file;filename=auto_right;issue=confidence_only;layout=ordinary,14,2026-07-29,strict_signature_and_current_technical_contract,0,Current image approved; excluded members remain final exceptions
PC-013,APPROVE_CLUSTER_CURRENT,mode=right; source=local_file; output=auto_right; samples=0; ratio=card_portrait; layout=ordinary; issue=crop_or_split_layout; families=BJD;mode=right;source=local_file;package=true;ratio=card_portrait;resolver=local_file;filename=auto_right;issue=crop_or_split_layout;layout=ordinary,1,2026-07-29,strict_signature_and_current_technical_contract,0,Current image approved; excluded members remain final exceptions
PC-014,APPROVE_CLUSTER_CURRENT,mode=right; source=local_file; output=auto_right; samples=11-20; ratio=card_portrait; layout=center_dense; issue=band_or_center_layout; families=+CEAD+HOKS+H_+IPZZ+REAL;mode=right;source=local_file;package=true;ratio=card_portrait;resolver=local_file;filename=auto_right;issue=band_or_center_layout;layout=center_dense,7,2026-07-29,strict_signature_and_current_technical_contract,0,Current image approved; excluded members remain final exceptions
PC-015,APPROVE_CLUSTER_CURRENT,mode=right; source=local_file; output=auto_right; samples=11-20; ratio=card_portrait; layout=ordinary; issue=confidence_only; families=+AARM+ADVO+AIDVPRN+AQULA+AQUMA+ARAN+ASIA+…;mode=right;source=local_file;package=true;ratio=card_portrait;resolver=local_file;filename=auto_right;issue=confidence_only;layout=ordinary,251,2026-07-29,strict_signature_and_current_technical_contract,0,Current image approved; excluded members remain final exceptions
PC-016,APPROVE_CLUSTER_CURRENT,mode=right; source=local_file; output=auto_right; samples=11-20; ratio=card_portrait; layout=ordinary; issue=crop_or_split_layout; families=+CEMD+H_+MVG+PPPE+SNOS-+UMAN;mode=right;source=local_file;package=true;ratio=card_portrait;resolver=local_file;filename=auto_right;issue=crop_or_split_layout;layout=ordinary,10,2026-07-29,strict_signature_and_current_technical_contract,0,Current image approved; excluded members remain final exceptions
PC-017,APPLY_CLUSTER_SAMPLE_RULE_WITH_QUALITY_GATE,mode=right; source=local_file; output=auto_right; samples=11-20; ratio=card_portrait; layout=ordinary; issue=good_sample; families=BBTU+H_+MANX+MKMP+SAVR+SNOS+VRKM;mode=right;source=local_file;package=true;ratio=card_portrait;resolver=local_file;filename=auto_right;issue=good_sample;layout=ordinary,9,2026-07-29,saved_cache_exact_id_resolution_and_visual_metadata,5,Per-item sample candidate gate; no cluster-wide sample index
PC-018,APPROVE_CLUSTER_CURRENT,mode=right; source=local_file; output=auto_right; samples=11-20; ratio=card_portrait; layout=ordinary; issue=other; families=H_+SNOS;mode=right;source=local_file;package=true;ratio=card_portrait;resolver=local_file;filename=auto_right;issue=other;layout=ordinary,2,2026-07-29,strict_signature_and_current_technical_contract,0,Current image approved; excluded members remain final exceptions
PC-019,APPROVE_CLUSTER_CURRENT,mode=right; source=local_file; output=auto_right; samples=11-20; ratio=card_portrait; layout=ordinary; issue=prior_ng_or_weak_scene; families=+PRED+SNOS;mode=right;source=local_file;package=true;ratio=card_portrait;resolver=local_file;filename=auto_right;issue=prior_ng_or_weak_scene;layout=ordinary,4,2026-07-29,strict_signature_and_current_technical_contract,0,Current image approved; excluded members remain final exceptions
PC-020,APPROVE_CLUSTER_CURRENT,mode=right; source=local_file; output=auto_right; samples=6-10; ratio=card_portrait; layout=center_dense; issue=band_or_center_layout; families=+BBAN+DAZD+DSOD+JUR+MIDA;mode=right;source=local_file;package=true;ratio=card_portrait;resolver=local_file;filename=auto_right;issue=band_or_center_layout;layout=center_dense,7,2026-07-29,strict_signature_and_current_technical_contract,0,Current image approved; excluded members remain final exceptions
PC-021,REVIEW_OUTLIERS_ONLY,mode=right; source=local_file; output=auto_right; samples=6-10; ratio=card_portrait; layout=ordinary; issue=confidence_only; families=+ATVR+AVSA+BIBIVR+CJOB+DASS+DSOD+DVAJ+…;mode=right;source=local_file;package=true;ratio=card_portrait;resolver=local_file;filename=auto_right;issue=confidence_only;layout=ordinary,96,2026-07-29,exact_signature_current_candidate_and_no_strong_current_failure,1,1NAMHS00006 is the stored-code match for requested 1NAMH500006
PC-022,APPROVE_CLUSTER_CURRENT,mode=right; source=local_file; output=auto_right; samples=6-10; ratio=card_portrait; layout=ordinary; issue=crop_or_split_layout; families=+H_+RKI+SNOS;mode=right;source=local_file;package=true;ratio=card_portrait;resolver=local_file;filename=auto_right;issue=crop_or_split_layout;layout=ordinary,6,2026-07-29,strict_signature_and_current_technical_contract,0,Current image approved; excluded members remain final exceptions
PC-023,APPLY_CLUSTER_SAMPLE_RULE_WITH_QUALITY_GATE,mode=right; source=local_file; output=auto_right; samples=6-10; ratio=card_portrait; layout=ordinary; issue=good_sample; families=IPZZ+ROE+ROYD;mode=right;source=local_file;package=true;ratio=card_portrait;resolver=local_file;filename=auto_right;issue=good_sample;layout=ordinary,4,2026-07-29,saved_cache_exact_id_resolution_and_visual_metadata,2,Per-item sample candidate gate; no cluster-wide sample index
PC-024,APPROVE_CLUSTER_CURRENT,mode=right; source=local_file; output=auto_right; samples=6-10; ratio=card_portrait; layout=ordinary; issue=other; families=JUR;mode=right;source=local_file;package=true;ratio=card_portrait;resolver=local_file;filename=auto_right;issue=other;layout=ordinary,1,2026-07-29,strict_signature_and_current_technical_contract,0,Current image approved; excluded members remain final exceptions
PC-025,APPROVE_CLUSTER_CURRENT,mode=right; source=local_file; output=auto_right; samples=6-10; ratio=card_portrait; layout=ordinary; issue=prior_ng_or_weak_scene; families=EBWH+JUR+MIDA+SNOS;mode=right;source=local_file;package=true;ratio=card_portrait;resolver=local_file;filename=auto_right;issue=prior_ng_or_weak_scene;layout=ordinary,5,2026-07-29,strict_signature_and_current_technical_contract,0,Current image approved; excluded members remain final exceptions
PC-026,APPROVE_CLUSTER_CURRENT,mode=rotated; source=local_file; output=other; samples=6-10; ratio=narrow_portrait; layout=ordinary; issue=confidence_only; families=;mode=rotated;source=local_file;package=true;ratio=narrow_portrait;resolver=local_file;filename=other;issue=confidence_only;layout=ordinary,3,2026-07-29,strict_signature_and_current_technical_contract,0,Current image approved; excluded members remain final exceptions
PC-027,APPROVE_CLUSTER_CURRENT,mode=sample; source=external_url; output=cache; samples=11-20; ratio=card_portrait; layout=ordinary; issue=sample_selection; families=VRKM;mode=sample;source=external_url;package=false;ratio=card_portrait;resolver=external_url;filename=cache;issue=sample_selection;layout=ordinary,1,2026-07-29,strict_signature_and_current_technical_contract,0,Current image approved; excluded members remain final exceptions
PC-028,APPROVE_CLUSTER_CURRENT,mode=sample; source=external_url; output=cache; samples=11-20; ratio=card_portrait; layout=ordinary; issue=confidence_only; families=AQUCO+AQUMAM+DSUVR;mode=sample;source=external_url;package=true;ratio=card_portrait;resolver=external_url;filename=cache;issue=confidence_only;layout=ordinary,3,2026-07-29,strict_signature_and_current_technical_contract,0,Current image approved; excluded members remain final exceptions
PC-029,APPLY_CLUSTER_SAMPLE_RULE_WITH_QUALITY_GATE,mode=sample; source=external_url; output=cache; samples=11-20; ratio=card_portrait; layout=ordinary; issue=sample_selection; families=+AJVR+BEBL+BIBIVR+CRVR+H_+KAVR+KIWVR+…;mode=sample;source=external_url;package=true;ratio=card_portrait;resolver=external_url;filename=cache;issue=sample_selection;layout=ordinary,84,2026-07-29,saved_cache_exact_id_resolution_and_visual_metadata,0,Per-item sample candidate gate; no cluster-wide sample index
PC-030,APPROVE_CLUSTER_CURRENT,mode=sample; source=external_url; output=cache; samples=6-10; ratio=card_portrait; layout=ordinary; issue=confidence_only; families=EBWH+HMN;mode=sample;source=external_url;package=true;ratio=card_portrait;resolver=external_url;filename=cache;issue=confidence_only;layout=ordinary,2,2026-07-29,strict_signature_and_current_technical_contract,0,Current image approved; excluded members remain final exceptions
PC-031,APPLY_CLUSTER_SAMPLE_RULE_WITH_QUALITY_GATE,mode=sample; source=external_url; output=cache; samples=6-10; ratio=card_portrait; layout=ordinary; issue=sample_selection; families=BIBIVR+MFYD+MIRD+SAVR+SNOS-;mode=sample;source=external_url;package=true;ratio=card_portrait;resolver=external_url;filename=cache;issue=sample_selection;layout=ordinary,6,2026-07-29,saved_cache_exact_id_resolution_and_visual_metadata,0,Per-item sample candidate gate; no cluster-wide sample index
PC-032,APPLY_CLUSTER_SAMPLE_RULE_WITH_QUALITY_GATE,mode=sample; source=external_url; output=cache; samples=6-10; ratio=landscape; layout=ordinary; issue=sample_selection; families=ROE;mode=sample;source=external_url;package=true;ratio=landscape;resolver=external_url;filename=cache;issue=sample_selection;layout=ordinary,1,2026-07-29,saved_cache_exact_id_resolution_and_visual_metadata,0,Per-item sample candidate gate; no cluster-wide sample index
PC-033,UNSHOWN_REVIEW_CLUSTER,mode=sample; source=sample_candidate; output=cache; samples=11-20; ratio=card_portrait; layout=ordinary; issue=sample_selection; families=AQUGL;mode=sample;source=sample_candidate;package=true;ratio=card_portrait;resolver=sample_candidate;filename=cache;issue=sample_selection;layout=ordinary,1,2026-07-29,not_auto_approved,1,Displayed human-review set omitted this cluster; final exception
PC-034,APPROVE_CLUSTER_CURRENT,mode=scene_portrait; source=scene_portrait; output=scene_portrait; samples=11-20; ratio=card_portrait; layout=ordinary; issue=prior_ng_or_weak_scene; families=H_;mode=scene_portrait;source=other;package=true;ratio=card_portrait;resolver=scene_portrait;filename=scene_portrait;issue=prior_ng_or_weak_scene;layout=ordinary,1,2026-07-29,strict_signature_and_current_technical_contract,0,Current image approved; excluded members remain final exceptions
PC-035,APPROVE_CLUSTER_CURRENT,mode=scene_portrait; source=scene_portrait; output=scene_portrait; samples=6-10; ratio=card_portrait; layout=ordinary; issue=prior_ng_or_weak_scene; families=;mode=scene_portrait;source=other;package=true;ratio=card_portrait;resolver=scene_portrait;filename=scene_portrait;issue=prior_ng_or_weak_scene;layout=ordinary,2,2026-07-29,strict_signature_and_current_technical_contract,0,Current image approved; excluded members remain final exceptions
