code,review_set,selection,expected_mode,expected_source_id,production_effect,approved_by,approved_at,approval_batch,reason
KIWVR00888,PHASE_4D_R2,CURRENT,SAMPLE,sample:1,REGRESSION_ONLY,USER_HANDOFF,2026-08-02,PHASE_4D_USER_REVIEW,User retained current resolution
KIWVR00907,PHASE_4D_R2,PREVIEW_CORRECTION,SAMPLE,sample:2,PRODUCTION_DECISION,USER_HANDOFF,2026-08-02,PHASE_4D_USER_REVIEW,Preview correction restored the Phase 4C approved image
KSBJ00438,PHASE_4D_R2,PREVIEW_CORRECTION,SAMPLE,sample:5,PRODUCTION_DECISION,USER_HANDOFF,2026-08-02,PHASE_4D_USER_REVIEW,Preview correction restored the Phase 4C approved image
KYMI00056,PHASE_4D_R2,RUNNER_UP,PACKAGE_RIGHT,dvd:right,PRODUCTION_DECISION,USER_HANDOFF,2026-08-02,PHASE_4D_USER_REVIEW,User selected R2 runner-up candidate
LUCY00029,PHASE_4D_R2,PREVIEW_CORRECTION,SAMPLE,sample:3,PRODUCTION_DECISION,USER_HANDOFF,2026-08-02,PHASE_4D_USER_REVIEW,Preview correction restored the Phase 4C approved image
MKMP00739,PHASE_4D_R2,RUNNER_UP,PACKAGE_RIGHT,dvd:right,PRODUCTION_DECISION,USER_HANDOFF,2026-08-02,PHASE_4D_USER_REVIEW,User selected R2 runner-up candidate
NSFS00496,PHASE_4D_R1,LEFT_COLUMN,PACKAGE_RIGHT,dvd:right,REGRESSION_ONLY,USER_HANDOFF,2026-08-02,PHASE_4D_USER_REVIEW,User approved left-column current image
PXVR00458,PHASE_4D_R1,LEFT_COLUMN,SAMPLE,sample:1,REGRESSION_ONLY,USER_HANDOFF,2026-08-02,PHASE_4D_USER_REVIEW,User approved left-column current image
REAL00999,PHASE_4D_R2,CURRENT,PACKAGE_RIGHT,dvd:right,REGRESSION_ONLY,USER_HANDOFF,2026-08-02,PHASE_4D_USER_REVIEW,User retained current resolution
ROE00516,PHASE_4D_R1,LEFT_COLUMN,PACKAGE_RIGHT,dvd:right,REGRESSION_ONLY,USER_HANDOFF,2026-08-02,PHASE_4D_USER_REVIEW,User approved left-column current image
SAVR01125,PHASE_4D_R1,LEFT_COLUMN,SAMPLE,sample:1,REGRESSION_ONLY,USER_HANDOFF,2026-08-02,PHASE_4D_USER_REVIEW,User approved left-column current image
SNOS00245,PHASE_4D_R1,LEFT_COLUMN,SAMPLE,sample:7,REGRESSION_ONLY,USER_HANDOFF,2026-08-02,PHASE_4D_USER_REVIEW,User approved left-column current image
SNOS00296,PHASE_4D_R1,LEFT_COLUMN,PACKAGE_RIGHT,dvd:right,REGRESSION_ONLY,USER_HANDOFF,2026-08-02,PHASE_4D_USER_REVIEW,User approved left-column current image; canonical SNOS code retained
SQTE00700,PHASE_4D_R2,PACKAGE_RIGHT,PACKAGE_RIGHT,dvd:right,PRODUCTION_DECISION,USER_HANDOFF,2026-08-02,PHASE_4D_USER_REVIEW,User selected PACKAGE_RIGHT
UMSO00650,PHASE_4D_R2,PREVIEW_CORRECTION,SAMPLE,sample:9,PRODUCTION_DECISION,USER_HANDOFF,2026-08-02,PHASE_4D_USER_REVIEW,Preview correction restored the Phase 4C approved image
URVRSP00581,PHASE_4D_R1,LEFT_COLUMN,SAMPLE,sample:1,REGRESSION_ONLY,USER_HANDOFF,2026-08-02,PHASE_4D_USER_REVIEW,User approved left-column current image
URVRSP00590,PHASE_4D_R2,CURRENT,PACKAGE_RIGHT,dvd:right,REGRESSION_ONLY,USER_HANDOFF,2026-08-02,PHASE_4D_USER_REVIEW,User retained current resolution
VRKM01841,PHASE_4D_R1,LEFT_COLUMN,SAMPLE,sample:1,REGRESSION_ONLY,USER_HANDOFF,2026-08-02,PHASE_4D_USER_REVIEW,User approved left-column current image
VRPRD00193,PHASE_4D_R1,LEFT_COLUMN,SAMPLE,sample:15,REGRESSION_ONLY,USER_HANDOFF,2026-08-02,PHASE_4D_USER_REVIEW,User approved left-column current image
VRPRD00198,PHASE_4D_R2,CURRENT,SAMPLE,sample:1,REGRESSION_ONLY,USER_HANDOFF,2026-08-02,PHASE_4D_USER_REVIEW,User retained current resolution
YMDS00298,PHASE_4D_R2,RECOMMENDED,PACKAGE_RIGHT,dvd:right,PRODUCTION_DECISION,USER_HANDOFF,2026-08-02,PHASE_4D_USER_REVIEW,User selected R2 recommended candidate
YMDS00301,PHASE_4D_R2,RUNNER_UP,PACKAGE_FULL,dvd:full,PRODUCTION_DECISION,USER_HANDOFF,2026-08-02,PHASE_4D_USER_REVIEW,User selected R2 runner-up candidate
