product_code,expected_type,expected_source,decision_status,decision_basis,notes
H_283PMFT00443,sample,sample:2,confirmed,human_batch_04,human approved exact sample:2 candidate
H_283PMFT00444,sample,sample:3,confirmed,human_batch_04,human approved exact sample:3 candidate
H_346REBD01049,right,dvd:right,confirmed,manual_gold,right
H_491KDMN00050,keep_current,current,confirmed,user_final_56,retain current auto-right
H_491KDMN00051,keep_current,current,confirmed,user_final_56,retain current auto-right
HMN00870,keep_current,current,confirmed,user_final_56,retain current auto-right
JUVR00300,right,dvd:right,confirmed,human_batch_03,human approved existing right candidate
MIZD00545,right,dvd:right,confirmed,human_batch_01,human approved existing right candidate
MNGS00065,right,dvd:right,confirmed,human_batch_03,human approved existing right candidate
MUDR00393,keep_current,current,confirmed,user_final_56,retain current auto-right
NBES00114,right,dvd:right,confirmed,human_batch_03,human approved existing right candidate
RBB00339,right,dvd:right,confirmed,manual_gold_latest,later user decision supersedes prior full
ROE00515,right,dvd:right,confirmed,user_final_56,right replaces center
ROE00520,right,dvd:right,confirmed,user_final_56,right replaces center
SNOS00263,right,dvd:right,confirmed,human_batch_03,human approved existing right candidate
YMDS00300,right,dvd:right,confirmed,human_batch_03,human approved existing right candidate
